ts_utc,symbol,setup,side,entry,sl,tp,was_executed,skip_reason
2026-04-27 14:10:33,SOLUSD,RG2,SELL,85.04,85.3,84.78,N,insufficient_balance
2026-04-27 14:30:44,XRPUSD,RG2,SELL,1.4031,1.41,1.4,N,insufficient_balance
2026-04-27 14:53:27,ETHUSD,SMC,SELL,2320.87,2331.14,2300.34,N,insufficient_balance
2026-04-27 14:53:58,AVAXUSD,RG2,SELL,9.27,9.3,9.24,N,insufficient_balance
2026-04-27 14:54:27,XRPUSD,SMC,SELL,1.4,1.41,1.39,N,insufficient_balance
2026-04-27 14:54:28,BNBUSD,SMC,SELL,626.62,628.78,622.3,N,error:circuito alpaca abierto
2026-04-27 14:55:59,BNBUSD,RG2,SELL,626.61,628.49,624.73,N,error:circuito alpaca abierto
2026-04-27 14:56:05,BNBUSD,RG2,SELL,626.61,628.49,624.73,N,error:circuito alpaca abierto
2026-04-27 14:56:11,BNBUSD,RG2,SELL,626.61,628.49,624.73,N,error:circuito alpaca abierto
2026-04-27 14:56:16,BNBUSD,RG2,SELL,626.61,628.49,624.73,N,error:circuito alpaca abierto
2026-04-27 15:50:32,BTCUSD,TREND,SELL,76814.06,77966.27,,N,insufficient_balance
2026-04-27 15:50:32,ETHUSD,TREND,SELL,2274.18,2308.29,,N,error:circuito alpaca abierto
2026-04-27 15:50:32,ETHUSD,SMC,SELL,2274.18,2285.6,2251.34,N,error:circuito alpaca abierto
2026-04-27 16:24:36,XRPUSD,RG2,SELL,1.3875,1.39,1.38,N,insufficient_balance
2026-04-27 16:37:31,AVAXUSD,RG2,SELL,9.15,9.18,9.12,N,insufficient_balance
2026-04-27 16:43:43,AVAXUSD,RG2,SELL,9.14,9.17,9.11,N,insufficient_balance
2026-04-27 16:49:28,AVAXUSD,RG2,SELL,9.15,9.18,9.12,N,insufficient_balance
2026-04-27 16:58:27,SOLUSD,RG2,SELL,84.21,84.46,83.96,N,insufficient_balance
2026-04-27 16:58:58,ETHUSD,RG2,SELL,2276.48,2283.31,2269.65,N,error:circuito alpaca abierto
2026-04-27 16:59:04,ETHUSD,RG2,SELL,2276.48,2283.31,2269.65,N,error:circuito alpaca abierto
2026-04-27 16:59:09,ETHUSD,RG2,SELL,2276.48,2283.31,2269.65,N,error:circuito alpaca abierto
2026-04-27 16:59:15,ETHUSD,RG2,SELL,2276.48,2283.31,2269.65,N,error:circuito alpaca abierto
2026-04-27 17:21:29,BTCUSD,RG2,SELL,76629.65,76859.54,76399.76,N,insufficient_balance
2026-04-27 17:52:31,BTCUSD,SMC,SELL,76768.41,77012.9,76279.43,N,insufficient_balance
2026-04-27 17:53:59,XRPUSD,RG2,SELL,1.3929,1.4,1.39,N,error:circuito alpaca abierto
2026-04-27 17:53:59,AVAXUSD,RG2,SELL,9.18,9.21,9.15,N,error:circuito alpaca abierto
2026-04-27 17:53:59,SOLUSD,RG2,SELL,84.48,84.73,84.23,N,error:circuito alpaca abierto
2026-04-27 17:54:05,AVAXUSD,RG2,SELL,9.18,9.21,9.15,N,error:circuito alpaca abierto
2026-04-27 17:54:05,XRPUSD,RG2,SELL,1.3929,1.4,1.39,N,error:circuito alpaca abierto
2026-04-27 17:54:05,SOLUSD,RG2,SELL,84.48,84.73,84.23,N,error:circuito alpaca abierto
2026-04-27 17:54:10,AVAXUSD,RG2,SELL,9.18,9.21,9.15,N,error:circuito alpaca abierto
